"Song Name","Song URI","Old Likes","CL1","CL2","Car","Chillin","KPOP Likes","Basic","Basic Club","PSA","Fly","Fast","Jazzy","Slow","Light Groove","Groove","Light","Chill","High","The Thang","This Morning","Roadtrip","Old KPOP","Angsty Classically","Throwback","PnW Faves","PnW","Frees","Prayer","Old Pop","After All These Years","Liked from Radio","Carty BGM","Mendelssohn Quartet 6",
"I'm Yours","spotify:track:1EzrEOXmMH3G43AXT1y7pA","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","",
"Goodbye","spotify:track:1CSceRZ3QvI4JczMF1PAil","","","x","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","",
"I Do","spotify:track:04KMInAuiWDbgoI4AcUyrr","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Christ Is Enough - Live","spotify:track:1aqZ4wT92JwutkhYg6Law5","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","",
"Final Song","spotify:track:4qqArAiTPueDxIp7cf87h7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","",
"Once in a While","spotify:track:4cBGOdNeyGhu8ROeIC6H9Q","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","",
"party (Shut Down) [feat. Crush]","spotify:track:1ihIXI2MVklmJdPvIUxExZ","x","x","","","","x","","","","","","","","","x","","","","","","","","","","","","","","","","","","",
"I Like Me Better - Recorded at Spotify Studios NYC","spotify:track:2uQNcZYa0SEbfW4cj0d9OS","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Forever","spotify:track:2wMBKl2M7X20iHrbDcDp4D","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","",
"heyahe","spotify:track:5HIKTopIsEr4NZM99yytdo","","","","","","x","","","","","","","","","x","","","","","","","","","","","","","","","","","","",
"Cool Side Of The Pillow","spotify:track:1UBCUQp3areFyJZjTwLz9g","","","","","","","","","","","","","x","","","","x","","","","","","","","","","","","","","","","",
"Your Glory / Nothing But The Blood - Live","spotify:track:5UgGtoBzu4mmslDkcbLduT","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","",
"Mountain","spotify:track:6CFQGqTEdTCm04EQ3v0mGD","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","x","","",
"Furious","spotify:track:5y4HNzrXHjR2v5XIS769CY","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","",
"Paparazzi","spotify:track:3FF6jZY1wDHXJUUN18qsLx","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","",
"Build My Life","spotify:track:3BDpn2Vivr1BFhlGsYs5tp","","","","","","","","","","","","","","","","","","","","","","","","","","x","","x","","","","","",
"Prototype - Original Mix","spotify:track:014LaiZb8vp7XPs4g6jEnb","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","",
"Yeah, I Said It","spotify:track:3LRiQ984MtAuGKbzH4QSsE","","","","x","","","","","","","","","x","","","","x","x","","","","","","","","","","","","","","","",
"Needed Me","spotify:track:4DoQqJvURKxrPjcskj0IwI","x","x","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",
"Some Nights","spotify:track:6t6oULCRS6hnI7rm0h5gwl","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","",
"Summer Heat - Radio Mix","spotify:track:1qnveWkOeefToJrPGWRlDg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","",
"Spirit Break out (Live)","spotify:track:00Fwo9Ez949l0bd7vR3NOz","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","",
"전화기를 꺼놔 Turn Off Your Phone (feat. Elo) [Remix]","spotify:track:6RnEQEx7h3QudN9IGkPkBK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","",
"String Quartet No. 6 Op.80 in F minor: IV Finale: Allegro molto","spotify:track:0deXpK1mtfbSspvgMOBYya","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x",
"Speechless","spotify:track:0zwgyuQWHcT3bnClCdnzL2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","",
